feature,mean_shap,std_shap
notfall_roll7,3.4552686,1.8796914
day_of_week,1.0393981,0.66970825
heavy_vehicle_pct,0.6005805,0.37815648
notfall_lag1,0.515983,0.30037388
notfall_lag7,0.45302492,0.23385423
daily_traffic_volume,0.28861097,0.14640129
lag7_x_winter,0.26257744,0.19606952
month,0.25260797,0.11320408
is_weekend,0.18664166,0.113186866
elderly_x_winter,0.18014807,0.09417954
ips_cases,0.16008653,0.12805608
avg_speed_kmh,0.14822422,0.15803356
traffic_x_winter,0.13332184,0.08598565
traffic_x_elderly,0.12667887,0.088512175
days_to_next_holiday,0.1190477,0.07360659
temperature_min,0.10225606,0.08638299
pct_elderly,0.08954555,0.06459209
week_of_year,0.089299224,0.072840124
mean_nems,0.08184977,0.088943735
temperature_avg,0.074171945,0.13285913
temperature_max,0.066990905,0.07182152
traffic_per_hour,0.06259065,0.03676145
mean_severity,0.05245265,0.042407192
cold_x_weekend,0.042646788,0.05426767
days_since_last_holiday,0.032308497,0.029539384
holiday_type,0.019974427,0.021436673
low_traffic_day,0.01342938,0.019803494
is_cantonal_holiday,0.008925507,0.01990617
is_winter,0.0066452147,0.007848536
is_school_holiday,0.005669063,0.007351915
is_bridge_day,0.00490878,0.028500745
is_summer,0.004149724,0.00835283
high_traffic_day,0.0029463547,0.0053104386
holiday_x_winter,0.0020790137,0.00082679733
is_federal_holiday,0.0006130612,0.0009820758
holiday_x_weekday,0.00041423299,0.0013334418
low_speed_flag,0.0,0.0
