feature,mean_shap,std_shap
notfall_roll7,3.5401595,1.8924754
day_of_week,1.3599867,1.0403188
notfall_lag7,0.6282295,0.34411713
notfall_lag1,0.3213531,0.18079397
month,0.26784712,0.14888105
lag7_x_winter,0.25667462,0.18259081
daily_traffic_volume,0.25543398,0.14961652
traffic_x_winter,0.16656676,0.13086882
avg_speed_kmh,0.11133449,0.09837789
temperature_max,0.11010621,0.08059739
traffic_per_hour,0.10475384,0.078089416
elderly_x_winter,0.10176115,0.05874048
traffic_x_elderly,0.099813215,0.09870086
heavy_vehicle_pct,0.09145071,0.08050096
days_to_next_holiday,0.08469055,0.06666418
week_of_year,0.08301572,0.08615187
mean_severity,0.07096491,0.07174576
temperature_avg,0.06911947,0.08522431
temperature_min,0.064631484,0.07878927
mean_nems,0.05751024,0.04811544
pct_elderly,0.053411115,0.039076854
days_since_last_holiday,0.044295978,0.03008401
ips_cases,0.04170316,0.052879956
holiday_type,0.026764376,0.035698358
low_traffic_day,0.026131446,0.042892747
is_winter,0.02243837,0.014859555
is_weekend,0.016715245,0.018957905
is_summer,0.015112288,0.017713048
high_traffic_day,0.005603063,0.00903056
cold_x_weekend,0.004738268,0.011571677
is_school_holiday,0.0043728035,0.011349062
holiday_x_weekday,0.0036123223,0.008356436
holiday_x_winter,0.0023277507,0.0028951832
low_speed_flag,0.00053455343,0.0025146564
is_federal_holiday,0.00042102,0.00095912337
is_cantonal_holiday,0.0,0.0
is_bridge_day,0.0,0.0
